id,theta_x,theta_y
173,0.9689663554790561,0.9244689816794482
174,0.9738035766781719,0.9174068243073001
175,0.9635508300214702,0.9188381261862867
176,0.9542565135757022,0.9205104134993413
177,0.9514402847610975,0.9212870744769885
178,0.9583902027779938,0.9216391685988751
179,0.934985041784323,0.902522550949881
180,0.946972794770656,0.865870247275153
181,0.9532194734494845,0.8322408566687826
182,0.942834830993401,0.7969938385787054
183,0.9604715564427468,0.7405291969716331
184,0.9432085323205909,0.6315721546037899
185,0.9464349447738807,0.5175188441582665
186,0.9439198653627757,0.39774574274262364
187,0.9335955685036494,0.2973302790285763
188,0.9187464964593316,0.11524448390844982
189,0.8849386006749068,-0.011487148852845686
190,0.8354381160884761,-0.17539270823021733
191,0.8002898903892368,-0.3237147400968754
192,0.7650316125730136,-0.4305884392365484
193,0.6474841441660033,-0.5126711134942247
194,0.558052315844441,-0.5302065387224972
195,0.4148624952166707,-0.5411684866360127
196,0.4095612121619805,-0.5788904418039251
197,0.30361450469798656,-0.6833207113265147
198,0.2577413312365995,-0.7455772065958395
199,0.23981577458863507,-0.8404845522221696
200,0.13039095339339626,-0.8972831988961663
201,0.04136054998843509,-0.9773374727902022
202,0.04852832800578582,-1.0400797581404635
203,-0.013140417552111514,-1.097595655227061
204,-0.04568348321563804,-1.1032359507928875
205,-0.14738538069956808,-1.1196055621771794
206,-0.38942611012027856,-1.1306115786463675
207,-0.5769596677884288,-1.1339703037283164
208,-0.6741741644264722,-1.1031894480381337
209,-0.7406761491752578,-1.100130969473766
210,-0.7811481195680771,-1.0905659786281088
211,-0.7883076170340946,-1.061423223510158
212,-0.826026097180597,-1.0634274872527685
213,-0.8299886115689143,-1.0772308282782035
214,-0.8031317749289276,-1.0926058307648296
215,-0.778163611592324,-1.097860963863186
216,-0.7664019046203724,-1.0889914842120845
217,-0.763257763720206,-1.097538620977718
218,-0.7755326559913499,-1.1042811651318818
219,-0.7817190248772986,-1.1120815442275431
220,-0.7806688882220454,-1.1234649228328613
221,-0.7815697735950282,-1.143349938287811
222,-0.798241239284158,-1.1570799081537002
223,-0.8386226808636251,-1.1803982433772509
224,-0.905712546889954,-1.1844666700161484
225,-0.9839013049117286,-1.205881142448953
226,-1.0510891040434507,-1.21359901114028
227,-1.0922967818980398,-1.2282761756204448
228,-1.1281817491581156,-1.2392153438541544
229,-1.1747164670585966,-1.2517351516594672
230,-1.2047044588921738,-1.2610862377969412
231,-1.275202625273662,-1.2730175395684982
232,-1.2935232919009754,-1.2698501985036483
233,-1.3177014003414838,-1.2670018015490092
234,-1.3393546913809593,-1.2594850879802773
235,-1.370693216051767,-1.2511890335531914
236,-1.3817102863860369,-1.244051567231102
237,-1.3805122921267101,-1.211944131230168
238,-1.3540440538288971,-1.1678984730964364
239,-1.3476357807722312,-1.128192537013141
240,-1.3287728388898268,-1.0962861621702704
241,-1.2622570041319459,-1.0752370117132233
242,-1.1749865504956871,-1.0778053521872812
243,-1.1047032089265827,-1.0813195191145966
244,-1.0283201538640565,-1.1012395958467645
245,-0.9642961660687916,-1.1266321022901282
246,-0.9398804890508229,-1.1192226300455603
247,-0.9475510255782948,-1.0758529257241787
248,-0.9616836177522872,-1.0296948048254249
249,-0.9543189366011436,-0.9929478146840551
250,-0.8550123973637612,-0.9400552257382788
251,-0.735083847423248,-0.7646388706300696
